time_s,revolutions,thrust,torque,torque_abs,efficiency
0.00101695,0.01525425,0.48943681,-0.044950018,0.044950018,0.17329534
0.00103107,0.01546605,0.48816929,-0.044851443,0.044851443,0.17322643
0.0010452,0.015678,0.48668938,-0.044741657,0.044741657,0.17312506
0.00105932,0.0158898,0.48559023,-0.044653619,0.044653619,0.17307463
0.00107345,0.01610175,0.48425008,-0.044556477,0.044556477,0.17297327
0.00108757,0.01631355,0.48309409,-0.044464384,0.044464384,0.17291775
0.00110169,0.01652535,0.48179456,-0.044368439,0.044368439,0.17282552
0.00111582,0.0167373,0.48061969,-0.044264113,0.044264113,0.17281042
0.00112994,0.0169491,0.47951827,-0.044186954,0.044186954,0.17271546
0.00114407,0.01716105,0.4786234,-0.0441149,0.0441149,0.17267472
0.00115819,0.01737285,0.4775208,-0.044031054,0.044031054,0.17260499
0.00117232,0.0175848,0.47643666,-0.043941684,0.043941684,0.17256336
0.00118644,0.0177966,0.47533448,-0.043854434,0.043854434,0.17250669
0.00120056,0.0180084,0.47438836,-0.043779121,0.043779121,0.1724595
0.00121469,0.01822035,0.47324829,-0.043687905,0.043687905,0.17240425
0.00122881,0.01843215,0.47229807,-0.043596466,0.043596466,0.17241896
0.00124294,0.0186441,0.47129492,-0.043520444,0.043520444,0.17235329
0.00125706,0.0188559,0.47027583,-0.043435787,0.043435787,0.1723158
0.00127119,0.01906785,0.46933515,-0.043360855,0.043360855,0.1722683
0.00128531,0.01927965,0.4684289,-0.043278958,0.043278958,0.17226102
0.00129944,0.0194916,0.46737091,-0.043190806,0.043190806,0.17222274
0.00131356,0.0197034,0.46636375,-0.043097419,0.043097419,0.17222399
0.00132768,0.0199152,0.46519864,-0.042998636,0.042998636,0.1721884
0.00134181,0.02012715,0.46411223,-0.042896155,0.042896155,0.17219668
0.00135593,0.02033895,0.46314767,-0.042812819,0.042812819,0.17217329
0.00137006,0.0205509,0.46219636,-0.04272275,0.04272275,0.17218188
0.00138418,0.0207627,0.46126521,-0.042641927,0.042641927,0.17216069
0.00139831,0.02097465,0.46033431,-0.04255732,0.04255732,0.17215483
0.00141243,0.02118645,0.45947387,-0.042483409,0.042483409,0.17213199
0.00142655,0.02139825,0.45853516,-0.042391062,0.042391062,0.17215454
0.00144068,0.0216102,0.45751666,-0.042293269,0.042293269,0.17216933
0.0014548,0.021822,0.45656029,-0.042199829,0.042199829,0.17218986
0.00146893,0.02203395,0.45571905,-0.042123903,0.042123903,0.17218238
0.00148305,0.02224575,0.45482746,-0.042042924,0.042042924,0.17217651
0.00149718,0.0224577,0.4538075,-0.041951938,0.041951938,0.17216298
0.0015113,0.0226695,0.45276186,-0.041849536,0.041849536,0.17218659
0.00152542,0.0228813,0.45160068,-0.041736939,0.041736939,0.17220832
0.00153955,0.02309325,0.45060754,-0.041640887,0.041640887,0.17222596
0.00155367,0.02330505,0.44955264,-0.041541578,0.041541578,0.17223353
0.0015678,0.023517,0.44864137,-0.041451445,0.041451445,0.17225815
0.00158192,0.0237288,0.44759223,-0.041351296,0.041351296,0.17227154
0.00159605,0.02394075,0.44673143,-0.041267542,0.041267542,0.1722892
0.00161017,0.02415255,0.44581229,-0.041183282,0.041183282,0.17228649
0.00162429,0.02436435,0.4447995,-0.041079364,0.041079364,0.17232993
0.00163842,0.0245763,0.44379715,-0.04097295,0.04097295,0.17238815
0.00165254,0.0247881,0.44284304,-0.040870639,0.040870639,0.17244815
0.00166667,0.02500005,0.44191978,-0.04078034,0.04078034,0.17246967
0.00168079,0.02521185,0.44095094,-0.040681095,0.040681095,0.17251139
0.00169492,0.0254238,0.44007304,-0.040591674,0.040591674,0.17254721
0.00170904,0.0256356,0.43910749,-0.040493415,0.040493415,0.1725864
0.00172316,0.0258474,0.43818037,-0.04039954,0.04039954,0.17262219
0.00173729,0.02605935,0.43722797,-0.040304401,0.040304401,0.17265359
0.00175141,0.02627115,0.43641439,-0.040224933,0.040224933,0.17267277
0.00176554,0.0264831,0.43554261,-0.040137606,0.040137606,0.17270277
0.00177966,0.0266949,0.43459804,-0.040039072,0.040039072,0.17275232
0.00179379,0.02690685,0.43367568,-0.039943698,0.039943698,0.17279729
0.00180791,0.02711865,0.43278463,-0.039854747,0.039854747,0.17282713
0.00182203,0.02733045,0.43184998,-0.039761558,0.039761558,0.17285807
0.00183616,0.0275424,0.43085665,-0.03965988,0.03965988,0.1729026
0.00185028,0.0277542,0.42995963,-0.039565575,0.039565575,0.17295389
0.00186441,0.02796615,0.42911113,-0.039472061,0.039472061,0.17302151
0.00187853,0.02817795,0.42830696,-0.039389199,0.039389199,0.17306056
0.00189266,0.0283899,0.42748592,-0.03930428,0.03930428,0.173102
0.00190678,0.0286017,0.42667561,-0.039224095,0.039224095,0.17312708
0.0019209,0.0288135,0.42581051,-0.039136571,0.039136571,0.17316245
0.00193503,0.02902545,0.42491283,-0.03904088,0.03904088,0.17322094
0.00194915,0.02923725,0.42396488,-0.03894167,0.03894167,0.17327481
0.00196328,0.0294492,0.42304424,-0.038845201,0.038845201,0.17332793
0.0019774,0.029661,0.42217351,-0.038759594,0.038759594,0.17335321
0.00199153,0.02987295,0.421227,-0.03866445,0.03866445,0.17339018
0.00200565,0.03008475,0.4202452,-0.038561027,0.038561027,0.17345
0.00201977,0.03029655,0.41938321,-0.038474676,0.038474676,0.17348271
0.0020339,0.0305085,0.41844055,-0.038377227,0.038377227,0.17353229
0.00204802,0.0307203,0.4176931,-0.038297949,0.038297949,0.17358089
0.00206215,0.03093225,0.41689905,-0.038213822,0.038213822,0.17363232
0.00207627,0.03114405,0.41611601,-0.038135726,0.038135726,0.1736611
0.0020904,0.031356,0.41540766,-0.038062811,0.038062811,0.17369758
0.00210452,0.0315678,0.41460618,-0.037979569,0.037979569,0.17374243
0.00211864,0.0317796,0.41386503,-0.037903838,0.037903838,0.17377835
0.00213277,0.03199155,0.41301449,-0.03781733,0.03781733,0.17381792
0.00214689,0.03220335,0.41211986,-0.037729314,0.037729314,0.17384602
0.00216102,0.0324153,0.41120074,-0.03763116,0.03763116,0.17391074
0.00217514,0.0326271,0.41041472,-0.037551158,0.037551158,0.17394812
0.00218927,0.03283905,0.40963323,-0.037473617,0.037473617,0.17397614
0.00220339,0.03305085,0.40877034,-0.037382458,0.037382458,0.17403302
0.00221751,0.03326265,0.40794845,-0.037295959,0.037295959,0.17408591
0.00223164,0.0334746,0.40718166,-0.037215582,0.037215582,0.17413398
0.00224576,0.0336864,0.40638769,-0.037134997,0.037134997,0.17417158
0.00225989,0.03389835,0.40568462,-0.037062083,0.037062083,0.17421231
0.00227401,0.03411015,0.40496227,-0.036986471,0.036986471,0.17425763
0.00228814,0.0343221,0.40424032,-0.036913031,0.036913031,0.17429305
0.00230226,0.0345339,0.40350498,-0.036837901,0.036837901,0.17433081
0.00231638,0.0347457,0.40275275,-0.036764041,0.036764041,0.1743554
0.00233051,0.03495765,0.40208212,-0.036696263,0.036696263,0.17438658
0.00234463,0.03516945,0.4013675,-0.036620516,0.036620516,0.17443671
0.00235876,0.0353814,0.40064359,-0.03654347,0.03654347,0.1744892
0.00237288,0.0355932,0.39991317,-0.036470915,0.036470915,0.17451758
0.00238701,0.03580515,0.39929846,-0.036408261,0.036408261,0.17454919
0.00240113,0.03601695,0.39848825,-0.036327109,0.036327109,0.17458415
0.00241525,0.03622875,0.39784784,-0.036257287,0.036257287,0.17463924
0.00242938,0.0364407,0.39714584,-0.036186326,0.036186326,0.17467295
0.0024435,0.0366525,0.39638914,-0.036104505,0.036104505,0.17473523
0.00245763,0.03686445,0.39556504,-0.036019655,0.036019655,0.17478271
0.00247175,0.03707625,0.39494115,-0.035951186,0.035951186,0.17483939
0.00248588,0.0372882,0.39429165,-0.035888098,0.035888098,0.17485871
0.0025,0.0375,0.39372536,-0.035827321,0.035827321,0.17490378
0.00251412,0.0377118,0.39300366,-0.035753234,0.035753234,0.17494495
0.00252825,0.03792375,0.39237386,-0.035683827,0.035683827,0.17500432
0.00254237,0.03813555,0.39166825,-0.035609951,0.035609951,0.17505202
0.0025565,0.0383475,0.39105913,-0.035539576,0.035539576,0.17512588
0.00257062,0.0385593,0.39043601,-0.035473332,0.035473332,0.17517334
0.00258475,0.03877125,0.38983819,-0.035405949,0.035405949,0.175238
0.00259887,0.03898305,0.38923258,-0.035342657,0.035342657,0.1752791
0.00261299,0.03919485,0.38862916,-0.035275665,0.035275665,0.17533972
0.00262712,0.0394068,0.38797923,-0.035207224,0.035207224,0.17538677
0.00264124,0.0396186,0.3873259,-0.035137424,0.035137424,0.17543924
0.00265537,0.03983055,0.38670515,-0.035076645,0.035076645,0.17546158
0.00266949,0.04004235,0.38616839,-0.035020107,0.035020107,0.17550091
0.00268362,0.0402543,0.38557413,-0.03495489,0.03495489,0.17555778
0.00269774,0.0404661,0.38488806,-0.034880223,0.034880223,0.17562054
0.00271186,0.0406779,0.38427737,-0.034822207,0.034822207,0.17563402
0.00272599,0.04088985,0.38366408,-0.034758982,0.034758982,0.17567268
0.00274011,0.04110165,0.38311539,-0.034703257,0.034703257,0.17570313
0.00275424,0.0413136,0.38248618,-0.034635852,0.034635852,0.17575594
0.00276836,0.0415254,0.38198457,-0.034581708,0.034581708,0.17580026
0.00278249,0.04173735,0.38145885,-0.034522104,0.034522104,0.17586141
0.00279661,0.04194915,0.38105762,-0.034478101,0.034478101,0.17590065
0.00281073,0.04216095,0.38054578,-0.034423169,0.034423169,0.1759447
0.00282486,0.0423729,0.38003724,-0.034368788,0.034368788,0.1759876
0.00283898,0.0425847,0.37945248,-0.034301307,0.034301307,0.1760625
0.00285311,0.04279665,0.37897342,-0.034256167,0.034256167,0.17607192
0.00286723,0.04300845,0.37837134,-0.034191288,0.034191288,0.17612577
0.00288136,0.0432204,0.37779156,-0.03413116,0.03413116,0.17616569
0.00289548,0.0434322,0.37719865,-0.034065903,0.034065903,0.17622615
0.0029096,0.043644,0.37668925,-0.034015216,0.034015216,0.1762504
0.00292373,0.04385595,0.37612863,-0.033953489,0.033953489,0.17630804
0.00293785,0.04406775,0.375668,-0.033905442,0.033905442,0.17634166
0.00295198,0.0442797,0.37515287,-0.033847977,0.033847977,0.17639882
0.0029661,0.0444915,0.37465343,-0.033795303,0.033795303,0.17643856
0.00298023,0.04470345,0.37412458,-0.033735499,0.033735499,0.17650184
0.00299435,0.04491525,0.37372281,-0.033690675,0.033690675,0.17654687
0.00300847,0.04512705,0.37324344,-0.033637782,0.033637782,0.17659767
0.0030226,0.045339,0.37277477,-0.033586669,0.033586669,0.17664433
0.00303672,0.0455508,0.37219018,-0.033521947,0.033521947,0.17670784
0.00305085,0.04576275,0.371592,-0.033458256,0.033458256,0.17675967
0.00306497,0.04597455,0.3710474,-0.033400366,0.033400366,0.17680653
0.0030791,0.0461865,0.37057878,-0.033346416,0.033346416,0.17686892
0.00309322,0.0463983,0.37007596,-0.033293237,0.033293237,0.17691106
0.00310734,0.0466101,0.36961233,-0.033238828,0.033238828,0.17697865
0.00312147,0.04682205,0.36912418,-0.033187151,0.033187151,0.17702013
0.00313559,0.04703385,0.36861794,-0.033131013,0.033131013,0.17707688
0.00314972,0.0472458,0.36818398,-0.033082867,0.033082867,0.17712582
0.00316384,0.0474576,0.36768081,-0.033027851,0.033027851,0.1771784
0.00317797,0.04766955,0.36721753,-0.032977536,0.032977536,0.17722514
0.00319209,0.04788135,0.36672085,-0.032924982,0.032924982,0.17726794
0.00320621,0.04809315,0.36620756,-0.032868939,0.032868939,0.17732165
0.00322034,0.0483051,0.36569436,-0.032815176,0.032815176,0.17736326
0.00323446,0.0485169,0.36526505,-0.032768804,0.032768804,0.17740574
0.00324859,0.04872885,0.36484823,-0.032721711,0.032721711,0.17745832
0.00326271,0.04894065,0.3644522,-0.032677689,0.032677689,0.1775045
0.00327684,0.0491526,0.36399406,-0.032625339,0.032625339,0.17756583
0.00329096,0.0493644,0.36355902,-0.032577529,0.032577529,0.17761388
0.00330508,0.0495762,0.36312496,-0.03252639,0.03252639,0.17768075
0.00331921,0.04978815,0.3627435,-0.032481981,0.032481981,0.17773676
0.00333333,0.04999995,0.36223783,-0.032429152,0.032429152,0.17777813
0.00334746,0.0502119,0.36178535,-0.032380304,0.032380304,0.17782392
0.00336158,0.0504237,0.36137846,-0.032334876,0.032334876,0.17787348
0.00337571,0.05063565,0.36097397,-0.032290968,0.032290968,0.17791598
0.00338983,0.05084745,0.36054336,-0.03224283,0.03224283,0.17796905
0.00340395,0.05105925,0.36007735,-0.032194363,0.032194363,0.17800659
0.00341808,0.0512712,0.35963182,-0.032145517,0.032145517,0.1780565
0.0034322,0.051483,0.35921809,-0.032101492,0.032101492,0.17809557
0.00344633,0.05169495,0.35881906,-0.032055768,0.032055768,0.17815149
0.00346045,0.05190675,0.35843033,-0.032010924,0.032010924,0.17820779
0.00347458,0.0521187,0.35794178,-0.03196109,0.03196109,0.17824237
0.0034887,0.0523305,0.35754384,-0.031915998,0.031915998,0.17829575
0.00350282,0.0525423,0.35713278,-0.031871837,0.031871837,0.17833754
0.00351695,0.05275425,0.35671892,-0.031828437,0.031828437,0.17837376
0.00353107,0.05296605,0.35630715,-0.031783408,0.031783408,0.17842028
0.0035452,0.053178,0.35588878,-0.031738211,0.031738211,0.17846456
0.00355932,0.0533898,0.35548249,-0.031690064,0.031690064,0.17853165
0.00357345,0.05360175,0.355075,-0.031645538,0.031645538,0.17857791
0.00358757,0.05381355,0.35465839,-0.031600103,0.031600103,0.17862485
0.00360169,0.05402535,0.35425308,-0.031554308,0.031554308,0.17867966
0.00361582,0.0542373,0.35387796,-0.031514024,0.031514024,0.17871861
0.00362994,0.0544491,0.35346704,-0.03147083,0.03147083,0.17875609
0.00364407,0.05466105,0.35305511,-0.031426017,0.031426017,0.17880238
0.00365819,0.05487285,0.35262598,-0.031379694,0.031379694,0.17884868
0.00367232,0.0550848,0.35223405,-0.031337143,0.031337143,0.17889248
0.00368644,0.0552966,0.35182982,-0.031292771,0.031292771,0.17894054
0.00370056,0.0555084,0.35144938,-0.03124905,0.03124905,0.17899714
0.00371469,0.05572035,0.35100734,-0.031202349,0.031202349,0.17903957
0.00372881,0.05593215,0.35059758,-0.031157319,0.031157319,0.17908903
0.00374294,0.0561441,0.35018793,-0.031113469,0.031113469,0.17913187
0.00375706,0.0563559,0.34980886,-0.031069259,0.031069259,0.17919259
0.00377119,0.05656785,0.34942369,-0.0310296,0.0310296,0.17922405
0.00378531,0.05677965,0.34908571,-0.030989822,0.030989822,0.17928053
0.00379944,0.0569916,0.34871412,-0.030949484,0.030949484,0.17932311
0.00381356,0.0572034,0.34838453,-0.030908465,0.030908465,0.17939137
0.00382768,0.0574152,0.34794012,-0.030861648,0.030861648,0.17943433
0.00384181,0.05762715,0.34755841,-0.03081753,0.03081753,0.17949407
0.00385593,0.05783895,0.34715869,-0.030778663,0.030778663,0.17951404
0.00387006,0.0580509,0.34678325,-0.030741637,0.030741637,0.17953588
0.00388418,0.0582627,0.3463563,-0.030697911,0.030697911,0.17957026
0.00389831,0.05847465,0.34603405,-0.030662396,0.030662396,0.17961098
0.00391243,0.05868645,0.34569648,-0.030626032,0.030626032,0.17964882
0.00392655,0.05889825,0.34540861,-0.030588978,0.030588978,0.17971666
